True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year,Mar Up,Mar Down,Pred Up,Pred Down,Results
18680.35,18644.239,36.111,18680.35,18631.8,-86.85,1,24,6,1,0,1,0,1
14805.85,14704.26225,101.58775,14805.85,14747.35,129.8,4,17,4,1,0,0,1,0
11354.7,11366.816,-12.116,11354.7,11369.6,6.25,0,33,8,0,1,0,1,1
19813.35,19851.70225,-38.35225,19813.35,19831.7,-138.25,3,29,7,0,1,1,0,0
11328.95,11377.807,-48.857,11328.95,11372.25,43.8,1,30,7,0,1,1,0,0
8652.1,8653.69825,-1.59825,8652.1,8639.2,16.6,2,33,8,1,0,1,0,1
15640.8,15700.4025,-59.6025,15640.8,15629.65,61.6,1,22,6,1,0,1,0,1
11734.4,11746.66825,-12.26825,11734.4,11738.55,61.2,2,9,2,0,1,1,0,0
12033.7,11990.53275,43.16725,12033.7,12031.3,-58.45,4,50,12,1,0,0,1,0
8456.15,8480.201,-24.051,8456.15,8468.05,-25.85,2,34,8,0,1,1,0,0
9067.45,9082.422,-14.972,9067.45,9091.65,18.3,1,11,3,0,1,0,1,1
16013.5,15952.7415,60.7585,16013.5,15977,209.85,4,19,5,1,0,0,1,0
17445.9,17461.87675,-15.97675,17445.9,17423.1,-142.15,3,42,10,1,0,1,0,1
11835.1,11831.44625,3.65375,11835.1,11786.25,-195.05,1,6,2,1,0,1,0,1
17086.9,17049.573,37.327,17086.9,17073.35,35.7,2,17,4,1,0,0,1,0
7498.7,7462.44225,36.25775,7498.7,7488.15,-26.2,4,10,3,1,0,0,1,0
7959.15,7974.359,-15.209,7959.15,7959.85,-31.6,4,24,6,0,1,1,0,0
18062.85,18086.7445,-23.8945,18062.85,18089.8,-46.2,1,52,12,0,1,0,1,1
8642.55,8610.526,32.024,8642.55,8633.75,49.05,1,30,7,1,0,0,1,0
10599.6,10717.3855,-117.7855,10599.6,10706.2,-21.85,3,29,7,0,1,1,0,0
10242.3,10265.0315,-22.7315,10242.3,10278.15,38.25,2,43,10,0,1,0,1,1
8140.9,8141.75025,-0.85025,8140.9,8153.55,65.55,4,48,12,0,1,0,1,1
25565.75,25518.059,47.691,25565.75,25487.05,42.05,3,38,9,1,0,1,0,1
17002.3,17096.54025,-94.24025,17002.3,17044.1,-136.4,1,49,12,0,1,1,0,0
8905.35,8908.286,-2.936,8905.35,8913.05,-7.7,5,9,2,0,1,0,1,1
11726.85,11761.40075,-34.55075,11726.85,11748,-97.3,4,21,5,0,1,1,0,0
17556.45,17512.6755,43.7745,17556.45,17485.7,-77.55,3,35,9,1,0,1,0,1
10744.1,10742.07825,2.02175,10744.1,10734.65,-38.65,2,25,6,1,0,1,0,1
22125.5,22095.41275,30.08725,22125.5,22090.2,-104,1,9,2,1,0,1,0,1
7435.8,7443.1275,-7.3275,7435.8,7436.1,-96.4,2,10,3,0,1,1,0,0
10666.5,10703.96575,-37.46575,10666.5,10699.6,-142.15,4,34,8,0,1,1,0,0
19485.15,19415.60425,69.54575,19485.15,19422.8,98.15,4,27,7,1,0,0,1,0
14701.8,14720.1535,-18.3535,14701.8,14737,36.2,1,14,4,0,1,0,1,1
9455.75,9527.75625,-72.00625,9455.75,9478.5,-46.45,4,26,6,0,1,1,0,0
12221.65,12212.0505,9.5995,12221.65,12202.15,12.45,2,1,1,1,0,1,0,1
17574.25,17536.4275,37.8225,17574.25,17525.45,-82.1,2,34,8,1,0,1,0,1
